sentence_id,base_form_id,word_index,source,source file,gloss_syllabary,gloss_phonetic,gloss_english
41979d9205ed,e0e4ed08c080ba0b,2,rrd,lily-dict.csv,ᏗᎦᏯᎸᏗ,,postage stamps
41979d9205ed,e0e4ed08c080ba0b,7,rrd,lily-dict.csv,ᏗᎦᏯᎸᏗ,,postage stamps
41979d9205ed,e0e4ed08c080ba0b,13,rrd,lily-dict.csv,ᏗᎦᏯᎸᏗ,,postage stamps
7f88727cbb86,73b61718f0f3c3f7,2,rrd,lily-dict.csv,ᏐᏊ,,one
76939d98631b,6db12884f177adc6,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎯᎴᎭ.,à:hí'le:ha,He's driving
3f607e153ff4,b94a60211f3fd00e,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏂᏝᏗᏍᏗ,gani:hladì:sdi,bedstead
e528ac85c75e,db8b35833b0376d7,4,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏍᏓᏩᏕᎦ.,à:sdâ:wadé:ga,is following
524fcc884ef3,9689ef547748b3dd,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏂᏍᏓ.,gansda,stick
1efe2f6a145e,c30d967d70bffa19,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᎦᏙᏗ,di̋:ktohdí,binoculars‚
d114faf10c89,be6b2239090bee85,6,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎧᏬᎳᏕᎠ.,kawoldé:'a,is breathing
f8197f934d4f,69386250ba42f94f,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎿᎸᎦᏏ.,ù:hna:lv́:gà:sî:,because he's getting mad.
9320f422a8f3,bf591621e9274099,3,rrd,lily-dict.csv,ᎭᏫᏂ,,inside
486eb746efb5,e1b631d738edd13f,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᎵᎬᏚᎶ,di:lgv:du:ló,masks.
a856a3dd7d40,6d285a65319404e3,1,rrd,lily-dict.csv,ᏓᎦᏏ,,Turtle
6e83bcffc9de,33f8d3d1d15642fd,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏏᏆ?,sihgwa,pig
30305d476bb6,5c5ce06ad5bd4143,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏫᎾ?,awi̋:na,young man?
5bd4776b49d2,86c2f71b769dc3bb,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎧᏂᎨᏂ.,kani:ge̋:ni,her knee
5f713a9a87ce,a970b25b88c96acd,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏜᎺᎭ.,dla:me:ha,Bats
fa673fc53dc2,73c30413ce7136dd,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎭᎴᏫᏍᏙᏓ,hale:hwisdohda,Stop
f44c33f55d9a,3c024dd9a9406a79,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎣᏝ,o:hla,soap.
e1ec01ec5f51,3b91391b4fc526ae,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎭᏛᏁᎮᏍᏗ,hadv́:ne:hé:sdi,will you be doing
5682ba819072,647a70ec4f047574,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎧᏛᎢ.,u:katv̋:'i,His face
c735fd5b5030,553e48b6e6c40056,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏅᏓ ᏗᏎᏍᏗ?,nv:da di̋:sesdi,calendar?
c735fd5b5030,553e48b6e6c40056,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏅᏓ ᏗᏎᏍᏗ?,nv:da di̋:sesdi,calendar?
ae6cb9dc6798,b672fe1911d67e3b,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎬᏃᏌᏍᏗ?,gv:no:sásdi,broom?
a8eb0ce599a4,e5b8b31231403552,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎢᎦᏓ,i:gá:da,Some
fc67a64387cf,0290df6b3599d086,2,rrd,lily-dict.csv,ᏣᎧᏛᎢ,,thy face
020ee30387e4,7e6b588c68ccd99d,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᎷᏯᏍᎦ.,galû:ysga,He's chopping
1e3eec75f1ae,328f8a834f87db67,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏩᎾᏬᏒ,uwa:nawo:sv́:,melted
a06299d9d670,a46cedae696a0be3,4,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎾᏆᏗᏅᏔᏅᎢ.,nàgwadǐ:nv̂:tanv̌:'i,run over
8cb097bb567a,ac79b3886c9250b7,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᎵᏲᎭ?,dù:li:yó:ha,socks is he wearing?
c2eac0fd2df7,5f7c6848277ddfaa,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏧᏬᏕᏫᏓ,juwo:dě:hwi̋:da,damp
ba277809a4d2,04208070d120d176,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏰᎯ,u:hye̋:hi,husband
14344fcee668,fd9ee250b939b9c3,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏍᏉᎯᏳᏓᏁᏗ,sgwo:hiyhdà:néhdi̋,you to vouch for me.
abf24cb6b54a,b712bb05099822d8,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᎿᎸᏍᏔᏅ,dù:hnǎ:lv́:stanv́:,He angered
f4f805e89722,597b86341a7896ed,6,rrd,lily-dict.csv,ᎢᏥᏯᎡᏍᏗ,,shall be in
f072f8cdba7a,d8cf3eadf2ae5aa5,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎿᎸᏐᎢ.,ù:hnǎ:lv̂:só:'i,is always angry.
9a56e0569790,c9211ca49a2ba602,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏂᎯ,nihi,you.
f66cfdcba840,a76d5d8b0df37040,8,rrd,lily-dict.csv,ᎪᎩ,,the summer
ce7efbb5a1b3,74abceb2c0d5985c,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏁᎯᏯ.,à:ne:hi:yá,Indigenous 
2cde8b2f19bd,2e63ec25fcc9df8f,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏓᏂᎳᎨ,u:da:hnǐ:lgé,ordained minister.
5ceae3d21b2a,f155bb6d99805900,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎵᏍᏗ,ű:lisdi,weak.
a5ea914a4ae8,ac8f95a49dda458d,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎪᏛ,go:tv̋:,fire.
91dea1ba8cd9,c09c5f25a3e834c2,5,rrd,lily-dict.csv,ᏗᎦᏃᎨᏂ,,his arms
883fbb2a8032,caa4661b70d521c0,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏭᏔᏅᎢ.,ù:wu:tahnv̌:'i,It snowed
d28ec9a1e6be,260f1970d48bfc04,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏪᎵᎯᏍᏗ,uwe:lihi̋:sdi,worried
3f211e2fcf7c,e6c670cd4897c567,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏓᎴᎯᏏᎭ.,dà:le:hi:síha,He's recuperating
0cccdaa15df8,8a7a86e6717e43e9,0,rrd,lily-dict.csv,ᎧᎶᏇᏗ,,locust
a4202a26198c,1b9f3f7f65d1c4a3,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎯᎳ ᎢᎦ,hilá: iga̋,How much
a4202a26198c,1b9f3f7f65d1c4a3,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎯᎳ ᎢᎦ,hilá: iga̋,How much
aeee60c3147e,5b6b79a8969ac94e,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏣᎵᏓᏍᏗᏍᎨᏍᏗ,jalǐ:dâ:sdi:sgé:sdi,You'll be making a mistake
eb893c273a44,822450d0cdcd492b,2,,learning-to-use-the-cherokee-verb.csv,ᎤᏩᎧᎭ,uwakaha,He has
6c93f6aa525b,179439e8106f9887,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏓᏰᏠᎯ,didahye̋:hlohi,a surgeon
08aee66a3c9d,8368f1fd4de64fb8,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏂᏍᎦᏃᎵ,u:ni:sganő:li,slow
389bf9f528a0,1ed767f3d46ba965,5,rrd,lily-dict.csv,ᎠᏍᎪᎸᎩ,,fadeth
45dba98037a5,4654c480fed1663e,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏩᏒᏓᏃᎢ?,wá:sv:dánő:'i,Washington?
