sentence_id,syllabary,phonetic,english,sentence_notes,sources
cd89d1b564f2,ᎢᏤ ᏗᎪᏪᎶᏗ * ᎤᏕᎸ * ᏗᏕᏠᏆᏍᎩ.,ije̋: digo:hwe̋:lò:di * ù:dé:lv́* di:de̋:hlohgwà:sgi,*He gave* the student a new pencil.,,cn-app-dictionary.csv
993105511e12,ᎠᎯᏓᏍ * ᎠᏕᏠᏆᏍᏗ * ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ?,ahi̋:dás * ade:hlohgwà:sdi̋* jalagi gawò:ni̋:hisdi,Is it easy *to learn* to speak Cherokee?,,cn-app-dictionary.csv
c5f76f161afc,* ᎤᏕᎰᎯᏍᏙᏗ * ᎠᏁᏟᏗᎭ.,* u:de:hǒ:hísdohdi̋* à:né:lhdiha,She's trying *to embarrass* him.,,cn-app-dictionary.csv
8b158a17b7ff,ᎠᎨᏳᏣ ᎤᎦᏔᏍᏓᏁᎳ * ᎤᏕᎰᏒᎢ.*,age:hyű:ja ù:ktâ:sdà:ne̋:la * ù:de:hǒ:sv́:'i *,When the girl winked at him‚ *he got embarrassed.*,,cn-app-dictionary.csv
3ee2bb0e2876,ᎯᏍᎩ ᏳᏩᏂᎸ ᏥᎨᏒ ᎪᎯ ᏑᎾᎴ * ᎤᏕᏅᎢ.*,hisgi yúwa:hnilv̋: jigè:sv̋: kò:hi suná:le̋: * ù:de:hnv̌:'i *,*He was born* at five o'clock this morning.,,cn-app-dictionary.csv
3c95afd86cf4,* ᎠᏕᎳ * ᎠᎨᏳᏗ ᎨᏒ ᏗᏓᎴᏂ ᎠᏍᎦᏂ.,* adě:la * age̋:yhdi gè:sv̋: di:dále:ni asgahni,The love of *money* is the root of evil.,,cn-app-dictionary.csv
777cbe1e274b,ᏱᏣᏚᎳᏍ *ᎠᏕᎳᏗᏗ* ᏗᏣᎸᏫᏍᏓᏁᏗ?,yijadu:lás *ade:lá*di:hdi̋:* dijalv:hwísdà:nhdi̋:'i,Would you like to work in a *bank?*,,cn-app-dictionary.csv
10754d73a5f3,* ᎠᏕᎳᏧᏢ * ᎤᏪᏅᏍᏗ ᎤᏚᎵᎭ.,* adě:lájǔ:hlv̋:* uwe:nv̀:sdi̋ ù:du:lǐ:ha,She wants to go to *California.*,,cn-app-dictionary.csv
3893a1f8088d,* ᎤᏕᎶᎰᏒ * ᎠᏥᎶᏄᎡᏍᎬᎢ.,* u:de:loho:sv́* à:jilo:nu'e:sgv̋:'i,*He found out* that he was being cheated.,,cn-app-dictionary.csv
a732d7410c02,ᎯᎠ ᎠᎵᏍᏇᏚᏬ ᏍᎪ * ᎠᏕᎸ * ᏧᎬᏩᏟᏗ.,hi'a alsgwè:tuwó sgo: * ade:lv̋:* ju:gv̋:wahldi,The price of this hat is ten *dollars.*,,cn-app-dictionary.csv
0db3b9abde85,* ᎠᏆᏕᏘᏗ * ᎠᎩᎸᏉᏗ ᏱᎦᏓᏬᎠ.,* agwade:tdi̋:* agilv:kwdi yigadáwő:'a,I like *to dive* when I'm swimming.,,cn-app-dictionary.csv
7c325dddf447,ᎠᏓᏁᎸ * ᎦᏕᏲᎭ.*,à:da:ně:lv̋: * ga:dé:yoha *,*I am circling* a building.,,cn-app-dictionary.csv
27f3b50a4192,ᎠᏯᏄᎵ ᎠᎯᎵᏒ ᎢᏳᏍᏗ ᏚᏅᏛ * ᎠᏕᏲᎲᎢ.*,a:yanu:li à:hílí:sv̋: iyű:sdi dù:nv̌:da * à:dé:yohv̋:'i *,Because he was driving fast‚ he missed a *curve.*,,cn-app-dictionary.csv
7509067913ed,ᎠᎭᏂ * ᏓᏥᏗ * ᎯᎠ ᏑᏗ.,áhanî * dají'dî * hi'á suhdî,*I am going to lay* this fishing pole here.,,cn-app-dictionary.csv
