Index,Source,Source_Long,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Definition_Long,Cross_Reference,Plural,Plural_Syllabary,Verb_1st_Present,Verb_1st_Present_Syllabary,Verb_3rd_Past,Verb_3rd_Past_Syllabary,Verb_3rd_Present_Habitual,Verb_3rd_Present_Habitual_Syllabary,Verb_2nd_Imperative,Verb_2nd_Imperative_Syllabary,Verb_3rd_Infinitive,Verb_3rd_Infinitive_Syllabary,Entry_Tone,Plural_Tone,Verb_1st_Present_Tone,Verb_3rd_Past_Tone,Verb_3rd_Present_Habitual_Tone,Verb_2nd_Imperative_Tone,Verb_3rd_Infinitive_Tone,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gigage atsilosgi,ᎩᎦᎨ ᎠᏥᎶᏍᎩ,n,noun,noun,Spigelia marilandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gigage atsilosgi, tsoliyusdi gigage atsilosgi, tsagagada tsunvtana, tsoliyusdi ameuduhi","ᎩᎦᎨ ᎠᏥᎶᏍᎩ, ᏦᎵᏳᏍᏗ ᎩᎦᎨ ᎠᏥᎶᏍᎩ, ᏣᎦᎦᏓ ᏧᏅᏔᎾ, ᏦᎵᏳᏍᏗ ᎠᎺᎤᏚᎯ",n,noun,noun,Lobelia cardinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gosadi uigiwa dilihisdodi,ᎪᏌᏗ ᎤᎢᎩᏩ ᏗᎵᎯᏍᏙᏗ,n,noun,noun,Artemisia absinthium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gosaga, gostaga","ᎪᏌᎦ, ᎪᏍᏔᎦ",n,noun,noun,Sambucus canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gosagi,ᎪᏌᎩ,n,noun,noun,Monarda fistulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gosagi, gigage atsilusgi","ᎪᏌᎩ, ᎩᎦᎨ ᎠᏥᎷᏍᎩ",n,noun,noun,Monarda didyma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gosagi, gvfsagi","ᎪᏌᎩ, ᎬfᏌᎩ",n,noun,noun,Pycanthemum spp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gosagi, wesda unigesdi","ᎪᏌᎩ, ᏪᏍᏓ ᎤᏂᎨᏍᏗ",n,noun,noun,Mentha spicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","gosduda, gosdugu","ᎪᏍᏚᏓ, ᎪᏍᏚᎫ",n,noun,noun,Antennaria plantaginifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gosdutsa kasduta,ᎪᏍᏚᏣ ᎧᏍᏚᏔ,n,noun,noun,Gnaphalium obtusifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gowasagi,ᎪᏩᏌᎩ,n,noun,noun,Blephilia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
