error,base_id,source,engl,phon,syll,text
Zero asterisks in sentence,89efc0b816beb665,cn-app-dictionary.csv,When he rang the bell‚ church services started.,u:halv:na ù:no:hyv̋:tlistana dà:ni:lâ:wì:gv̋: ù:dale:nv:hv̌:’i,ᎤᎭᎸᎾ ᎤᏃᏴᏟᏍᏔᎾ ᏓᏂᎳᏫᎬ ᎤᏓᎴᏅᎲᎢ.,
Zero asterisks in sentence,89efc0b816beb665,cn-app-dictionary.csv,When he rang the bell‚ church services started.,u:halv:na ù:no:hyv̋:tlistana dà:ni:lâ:wì:gv̋: ù:dale:nv:hv̌:’i,ᎤᎭᎸᎾ ᎤᏃᏴᏟᏍᏔᎾ ᏓᏂᎳᏫᎬ ᎤᏓᎴᏅᎲᎢ.,
Zero asterisks in sentence,89efc0b816beb665,cn-app-dictionary.csv,When he rang the bell‚ church services started.,u:halv:na ù:no:hyv̋:tlistana dà:ni:lâ:wì:gv̋: ù:dale:nv:hv̌:’i,ᎤᎭᎸᎾ ᎤᏃᏴᏟᏍᏔᎾ ᏓᏂᎳᏫᎬ ᎤᏓᎴᏅᎲᎢ.,
Zero asterisks in sentence,89efc0b816beb665,cn-app-dictionary.csv,When he rang the bell‚ church services started.,u:halv:na ù:no:hyv̋:tlistana dà:ni:lâ:wì:gv̋: ù:dale:nv:hv̌:’i,ᎤᎭᎸᎾ ᎤᏃᏴᏟᏍᏔᎾ ᏓᏂᎳᏫᎬ ᎤᏓᎴᏅᎲᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),6bf26e4899149498,cn-app-dictionary.csv,,ge:tv̋ *gata* anà:galǐ:sgi ajv̋:sdi,ᎨᏛ ᎦᏔ ᎠᎾᎦᎵᏍᎩ ᎠᏨᏍᏗ.,
Zero asterisks in sentence,6bf26e4899149498,cn-app-dictionary.csv,An electric light is hanging from a pole.,ge:tv̋ gata anà:galǐ:sgi ajv̋:sdi,ᎨᏛ ᎦᏔ ᎠᎾᎦᎵᏍᎩ ᎠᏨᏍᏗ.,
Zero asterisks in sentence,6bf26e4899149498,cn-app-dictionary.csv,An electric light is hanging from a pole.,ge:tv̋ gata anà:galǐ:sgi ajv̋:sdi,ᎨᏛ ᎦᏔ ᎠᎾᎦᎵᏍᎩ ᎠᏨᏍᏗ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),3c2e71c9a5a947ae,cn-app-dictionary.csv,,*gatdi* u:yo:hǔ:si u:hnawo:gi̋:’i,ᎦᏘᏗ ᎤᏲᎱᏏ ᎤᎿᏬᎩᎢ.,
Zero asterisks in sentence,3c2e71c9a5a947ae,cn-app-dictionary.csv,He lost a button from his shirt.,gatdi u:yo:hǔ:si u:hnawo:gi̋:’i,ᎦᏘᏗ ᎤᏲᎱᏏ ᎤᎿᏬᎩᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),cf07d72b87ae5cf9,cn-app-dictionary.csv,,u:nalí:go:sv̋: u:nada:hlő:sa *ù:ne:hluhnv́* analà:sgali̋:sgi,ᎤᎾᎵᎪᏒ ᎤᎾᏓᏠᏌ‚ ᎤᏁᏡᏅ ᎠᎾᎳᏍᎦᎵᏍᎩ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),cf07d72b87ae5cf9,cn-app-dictionary.csv,,u:nalí:go:sv̋: u:nada:hlő:sa *ù:ne:hluhnv́* analà:sgali̋:sgi,ᎤᎾᎵᎪᏒ ᎤᎾᏓᏠᏌ‚ ᎤᏁᏡᏅ ᎠᎾᎳᏍᎦᎵᏍᎩ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),cf07d72b87ae5cf9,cn-app-dictionary.csv,,u:nalí:go:sv̋: u:nada:hlő:sa *ù:ne:hluhnv́* analà:sgali̋:sgi,ᎤᎾᎵᎪᏒ ᎤᎾᏓᏠᏌ‚ ᎤᏁᏡᏅ ᎠᎾᎳᏍᎦᎵᏍᎩ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),cf07d72b87ae5cf9,cn-app-dictionary.csv,,u:nalí:go:sv̋: u:nada:hlő:sa *ù:ne:hluhnv́* analà:sgali̋:sgi,ᎤᎾᎵᎪᏒ ᎤᎾᏓᏠᏌ‚ ᎤᏁᏡᏅ ᎠᎾᎳᏍᎦᎵᏍᎩ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),cf07d72b87ae5cf9,cn-app-dictionary.csv,,u:nalí:go:sv̋: u:nada:hlő:sa *ù:ne:hluhnv́* analà:sgali̋:sgi,ᎤᎾᎵᎪᏒ ᎤᎾᏓᏠᏌ‚ ᎤᏁᏡᏅ ᎠᎾᎳᏍᎦᎵᏍᎩ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),6fcb0f71ab854c76,cn-app-dictionary.csv,,gá:gò: nidayú:nv:nv̋: *go:hwe:li * hinagi,ᎦᎪ ᏂᏓᏳᏅᏅ ᎪᏪᎵ ᎯᎾᎩ?,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),6fcb0f71ab854c76,cn-app-dictionary.csv,,gá:gò: nidayú:nv:nv̋: *go:hwe:li * hinagi,ᎦᎪ ᏂᏓᏳᏅᏅ ᎪᏪᎵ ᎯᎾᎩ?,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),9d30d2c10e0bc3a9,cn-app-dictionary.csv,,*gu:lé* dà:ni:gî:sgó:’i salǒ:li,ᎫᎴ ᏓᏂᎩᏍᎪᎢ ᏌᎶᎵ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),2ba2588afdb91ebc,cn-app-dictionary.csv,,*hlè:sdi* yijané:gù:jé:sdi,ᏞᏍᏗ ᏱᏣᏁᎫᏤᏍᏗ.,
Zero asterisks in sentence,43b0e932c462b2ed,cn-app-dictionary.csv,How many years was he gone?,hilá: ijú:de:tiyv̋:da ù:hne:lá’dé’i,ᎯᎳ ᎢᏧᏕᏘᏴᏓ ᎤᏁᎳᏕᎢ?,
Zero asterisks in sentence,a5351ebf0d20e8d3,cn-app-dictionary.csv,They always put paper into the fire.,nigo:hí:lv̋: digo:hwe:li dà:nhdv́’vsgó go:tv̋:’i,ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.,
Zero asterisks in sentence,a5351ebf0d20e8d3,cn-app-dictionary.csv,They always put paper into the fire.,nigo:hí:lv̋: digo:hwe:li dà:nhdv́’vsgó go:tv̋:’i,ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.,
Zero asterisks in sentence,a5351ebf0d20e8d3,cn-app-dictionary.csv,They always put paper into the fire.,nigo:hí:lv̋: digo:hwe:li dà:nhdv́’vsgó go:tv̋:’i,ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.,
Zero asterisks in sentence,a5351ebf0d20e8d3,cn-app-dictionary.csv,They always put paper into the fire.,nigo:hí:lv̋: digo:hwe:li dà:nhdv́’vsgó go:tv̋:’i,ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.,
Zero asterisks in sentence,a5351ebf0d20e8d3,cn-app-dictionary.csv,They always put paper into the fire.,nigo:hí:lv̋: digo:hwe:li dà:nhdv́’vsgó go:tv̋:’i,ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.,
Zero asterisks in sentence,a5351ebf0d20e8d3,cn-app-dictionary.csv,They always put paper into the fire.,nigo:hí:lv̋: digo:hwe:li dà:nhdv́’vsgó go:tv̋:’i,ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),1e1fff6baa4a2466,cn-app-dictionary.csv,,hi’a hawi:ya *ő:sda* ágì:sdi,ᎯᎠ ᎭᏫᏯ ᎣᏍᏓ ᎠᎩᏍᏗ.,
Odd number of asterisks in Phonetic,6e49ecb8a8a026ce,cn-app-dictionary.csv,,,,dagwalé:la ù:hv̋: *u:hlő:yi* à*gwadu:lǐ:ha
Zero asterisks in sentence,6e49ecb8a8a026ce,cn-app-dictionary.csv,I want the same kind of car he has.,dagwalé:la ù:hv̋: u:hlő:yi à:gwadu:lǐ:ha,ᏓᏆᎴᎳ ᎤᎲ ᎤᏠᏱ ᎠᏆᏚᎵᎭ.,
Zero asterisks in sentence,c5a0fc061d15bfc9,cn-app-dictionary.csv,What’s sticking out of your pocket?,gado u:sdi ù:ksata jadla:wádv̋:’i,ᎦᏙ ᎤᏍᏗ ᎤᎦᏌᏔ ᏣᏜᏩᏛᎢ?,
Zero asterisks in sentence,c5a0fc061d15bfc9,cn-app-dictionary.csv,What’s sticking out of your pocket?,gado u:sdi ù:ksata jadla:wádv̋:’i,ᎦᏙ ᎤᏍᏗ ᎤᎦᏌᏔ ᏣᏜᏩᏛᎢ?,
Zero asterisks in sentence,c5a0fc061d15bfc9,cn-app-dictionary.csv,What’s sticking out of your pocket?,gado u:sdi ù:ksata jadla:wádv̋:’i,ᎦᏙ ᎤᏍᏗ ᎤᎦᏌᏔ ᏣᏜᏩᏛᎢ?,
Zero asterisks in sentence,c5a0fc061d15bfc9,cn-app-dictionary.csv,What’s sticking out of your pocket?,gado u:sdi ù:ksata jadla:wádv̋:’i,ᎦᏙ ᎤᏍᏗ ᎤᎦᏌᏔ ᏣᏜᏩᏛᎢ?,
Zero asterisks in sentence,c5a0fc061d15bfc9,cn-app-dictionary.csv,What’s sticking out of your pocket?,gado u:sdi ù:ksata jadla:wádv̋:’i,ᎦᏙ ᎤᏍᏗ ᎤᎦᏌᏔ ᏣᏜᏩᏛᎢ?,
Zero asterisks in sentence,c5a0fc061d15bfc9,cn-app-dictionary.csv,What’s sticking out of your pocket?,gado u:sdi ù:ksata jadla:wádv̋:’i,ᎦᏙ ᎤᏍᏗ ᎤᎦᏌᏔ ᏣᏜᏩᏛᎢ?,
Zero asterisks in sentence,f27e8241b0c22a48,cn-app-dictionary.csv,Those ball players are wearing new caps.,ná analà:sgali̋:sgi di:je̋: dù:nalsdú:la,Ꮎ ᎠᎾᎳᏍᎦᎵᏍᎩ ᏗᏤ ᏚᎾᎵᏍᏚᎳ.,
